ending,verse,fit,null_median
اجمعين,15:92,0.012513308981253468,0.01807342558753857
اجمعين,27:51,0.007451588061677824,0.01807342558753857
اجمعين,43:55,0.012802204323808358,0.01807342558753857
اجمعين,44:40,0.0,0.01807342558753857
احدا,18:47,0.025738782510383123,0.026414052633743888
الاولين,26:196,0.0,0.015888483071964797
الاولين,37:168,0.0,0.015888483071964797
الاولين,43:6,0.008992803730519036,0.015888483071964797
الاولين,77:16,0.015180715620609186,0.015888483071964797
الجحيم,37:23,0.002016516063744788,0.013183170954926899
الجحيم,37:64,-1.959217102279688e-17,0.013183170954926899
الجحيم,37:68,0.0,0.013183170954926899
الجحيم,37:97,-1.3061447348531253e-17,0.013183170954926899
الحكيم,36:2,0.0,0.020424439846028326
الخاسرين,3:85,0.024068145293558652,0.032653745110732685
الخاسرين,41:23,0.03040299645816853,0.032653745110732685
الخاسرين,5:30,0.028356186721180655,0.032653745110732685
الخاسرين,5:5,0.030080924272283417,0.032653745110732685
الرحيم,1:3,-0.03125,0.015298890121416185
الرحيم,52:28,0.0037035461485427357,0.015298890121416185
الصالحين,28:27,0.014693238206056478,0.0173777471042742
الصالحين,3:46,0.006045235334325895,0.0173777471042742
الصالحين,6:85,0.004013535727309768,0.0173777471042742
الصالحين,7:196,0.014262977477603312,0.0173777471042742
الصدور,100:10,0.0,0.02090051727791338
الظالمون,24:50,0.0176467488776234,0.023342199301723307
الظالمين,21:87,0.02931018783973668,0.031092118784080733
الظالمين,28:40,0.02388699506528337,0.031092118784080733
الظالمين,2:145,0.03038628884960235,0.031092118784080733
الظالمين,3:151,0.028392800159188426,0.031092118784080733
الظالمين,6:52,0.020935375834566373,0.031092118784080733
الظالمين,6:68,0.02820867873223277,0.031092118784080733
الظالمين,7:41,0.026933784863246036,0.031092118784080733
العالمين,29:6,0.017220746193051983,0.0306674464524693
العالمين,37:79,0.026024952582444343,0.0306674464524693
العالمين,3:33,0.022810293094276415,0.0306674464524693
العالمين,44:32,0.0,0.0306674464524693
العالمين,6:86,0.02835278976434885,0.0306674464524693
العظيم,15:87,0.01681214381886286,0.01877302662733834
العظيم,26:63,0.006216508878895897,0.01877302662733834
العظيم,56:46,0.004392939944793366,0.01877302662733834
العظيم,78:2,0.0,0.01877302662733834
الكافرون,109:1,0.011571653614916366,0.02803866401549947
الكافرين,10:86,0.026956901573779366,0.029416965066883106
الكافرين,11:42,0.020768417273630473,0.029416965066883106
الكافرين,26:19,0.010428952007653536,0.029416965066883106
الكافرين,2:191,0.01248591400561942,0.029416965066883106
الكافرين,3:141,0.024251393283562572,0.029416965066883106
الكافرين,69:50,0.0,0.029416965066883106
الكافرين,8:18,0.0217096382513225,0.029416965066883106
المءمنون,23:1,0.0,0.014066154781565317
المءمنين,10:87,0.017276431105942125,0.01808819537646013
المءمنين,24:3,0.015136306717545782,0.01808819537646013
المءمنين,26:102,0.018066598818041804,0.01808819537646013
المءمنين,26:114,0.0,0.01808819537646013
المءمنين,28:10,0.0127020092773623,0.01808819537646013
المءمنين,51:55,0.0,0.01808819537646013
المبين,15:89,0.009735954389967105,0.015368369178858794
المبين,37:106,0.0,0.015368369178858794
المبين,81:23,0.0,0.015368369178858794
المحسنين,2:236,0.0020354165383441114,0.01721150646786064
المحسنين,5:13,0.016878304508362283,0.01721150646786064
المسلمين,10:90,0.013592101466259696,0.018490782783052846
المسلمين,51:36,0.0,0.018490782783052846
المشركين,9:1,0.018831782287635792,0.02140913311037173
المصير,22:48,0.008561161389709325,0.02750614096321221
المصير,31:14,0.0037904799851977496,0.02750614096321221
المصير,35:18,0.026308072311922438,0.02750614096321221
المصير,50:43,0.010859598050957365,0.02750614096321221
المصير,64:3,0.020364038517516073,0.02750614096321221
النار,14:50,0.0,0.018266170436735535
النار,2:167,0.01523377161987487,0.018266170436735535
النار,38:59,0.0,0.018266170436735535
النار,38:64,0.016487556240216583,0.018266170436735535
النعيم,83:24,0.0,0.009373452832873826
امين,81:21,0.0,0.008335955511448662
بصير,67:19,0.013337390064998969,0.021932562699070297
بصيرا,76:2,0.023705774777829425,0.031664334114396245
تتقون,2:179,0.009079681351540345,0.01876903947233141
تتقون,2:183,0.00906047216971064,0.01876903947233141
تتقون,6:153,0.018471726538984004,0.01876903947233141
ترجعون,11:34,0.0179619054299263,0.019778756997204223
ترجعون,23:115,0.018062122455460173,0.019778756997204223
ترجعون,36:22,0.016298832545878134,0.019778756997204223
تعبدون,109:2,-0.1,0.01868524838250082
تعبدون,37:161,-0.1,0.01868524838250082
تعلمون,102:3,-0.021739130434782608,0.027140703696627577
تعلمون,102:4,-0.021739130434782608,0.027140703696627577
تعلمون,16:55,0.02504016620860569,0.027140703696627577
تعلمون,16:8,0.005213152380053062,0.027140703696627577
تعلمون,26:132,0.005255076782585594,0.027140703696627577
تعلمون,2:188,0.020042186559139755,0.027140703696627577
تعلمون,2:216,0.027053762711722374,0.027140703696627577
تعلمون,2:22,0.024938592520262825,0.027140703696627577
تعلمون,30:34,0.02504016620860569,0.027140703696627577
تعلمون,3:66,0.016395623404360862,0.027140703696627577
تعلمون,56:61,0.005619608122490907,0.027140703696627577
تعلمون,6:67,0.004385206522347471,0.027140703696627577
تعملون,10:14,0.0219405761758708,0.030056749662272272
تعملون,10:41,0.028667609359729684,0.030056749662272272
تعملون,34:25,0.02267962967253848,0.030056749662272272
تعملون,3:153,0.029999399585466793,0.030056749662272272
تكذبون,56:82,0.0,0.013383999591844113
حكيم,43:4,0.007849211070587978,0.017022179400326826
حكيم,44:4,0.01186988888089739,0.017022179400326826
حليم,37:101,4.9343245538895844e-17,0.01777756162584329
حين,23:25,1.708035422500241e-17,0.009693415762520575
حين,23:54,-8.540177112501205e-18,0.009693415762520575
خالدون,23:11,-1.0092936587501423e-17,0.015246686955094249
خبير,11:1,-1.586032892321652e-17,0.024384387914201486
خبير,35:14,0.007599548754301942,0.024384387914201486
خبيرا,25:58,0.006905813528677335,0.03543271836459262
خبيرا,25:59,0.0248340882017688,0.03543271836459262
شهيد,41:47,0.022724996935832582,0.03395473173768841
شهيد,50:37,0.012506448476477892,0.03395473173768841
شهيدا,4:159,0.013841878669349494,0.02535618507529646
عظيم,12:28,0.007038278350033446,0.025564831397320773
عظيم,22:1,0.018211883837618875,0.025564831397320773
عظيم,24:16,0.02068854241803016,0.025564831397320773
عظيم,27:23,0.014702461572632728,0.025564831397320773
عظيم,37:107,0.011230720149430301,0.025564831397320773
عظيم,38:67,0.01972427280791501,0.025564831397320773
عظيم,43:31,0.016420190836173725,0.025564831397320773
عظيم,56:76,0.008802200446697892,0.025564831397320773
عظيم,68:4,0.0,0.025564831397320773
عظيم,7:116,0.025534821683048353,0.025564831397320773
عظيما,17:40,0.011074796613504792,0.021635993659471556
عظيما,4:156,0.010044000891386124,0.021635993659471556
عليم,12:55,0.021576264934756246,0.022155184914364516
عليم,15:25,0.016606610123923667,0.022155184914364516
عليم,15:53,0.015667882934278142,0.022155184914364516
عليم,23:51,0.015835486039397252,0.022155184914364516
عليم,27:6,0.010575768797555736,0.022155184914364516
عليم,51:28,0.015449338050427844,0.022155184914364516
كافرون,21:36,0.009917414223207466,0.024776754183276538
كافرون,9:125,0.0,0.024776754183276538
كافرين,3:100,0.01336719681648048,0.027083276886574623
كبير,28:23,0.00990457733442415,0.020972546462063067
كبير,67:9,0.013459038457532444,0.020972546462063067
كبير,8:73,0.01818239016292405,0.020972546462063067
كريم,26:58,0.015584675297274739,0.022504578249975746
كريم,44:26,0.015918037918263028,0.022504578249975746
كريم,56:44,0.0,0.022504578249975746
كريم,56:77,0.0,0.022504578249975746
للعالمين,21:107,0.0,0.009942384813578297
للمءمنين,15:88,0.0,0.013039960944846427
للمتقين,26:90,0.01425703345733396,0.016052348404435843
للمتقين,43:35,0.011415051729849171,0.016052348404435843
مءمنين,9:14,0.023702724660520418,0.029305766032802945
مبين,15:18,0.012717424921306047,0.020267075859415007
مبين,15:79,0.004305383964403769,0.020267075859415007
مبين,26:195,0.007975109672908934,0.020267075859415007
مبين,26:32,0.012048192771084338,0.020267075859415007
مبين,37:113,0.010145697089337253,0.020267075859415007
مبين,43:18,0.008346192775130169,0.020267075859415007
مبين,44:10,0.019030426023223978,0.020267075859415007
مبين,7:107,0.012048192771084338,0.020267075859415007
مبينا,48:1,0.0,0.02508042761891367
مبينا,4:174,0.015538989891999089,0.02508042761891367
مهين,68:10,0.0,0.016665712741945587
يءمنون,19:39,0.02299114246374603,0.027508584486221975
يءمنون,21:6,0.010129556194637006,0.027508584486221975
يءمنون,2:100,0.019505609788216978,0.027508584486221975
يءمنون,2:88,0.027110091825237385,0.027508584486221975
يءمنون,6:125,0.023353026928214463,0.027508584486221975
يءمنون,7:27,0.025396344269188402,0.027508584486221975
يءمنون,84:20,-0.023255813953488372,0.027508584486221975
يءمنون,8:55,0.018637780154904166,0.027508584486221975
يتقون,39:28,-2.0185873175002847e-17,0.022418876468741647
يتقون,6:51,0.00315250829674492,0.022418876468741647
يتقون,6:69,2.0185873175002847e-17,0.022418876468741647
يتقون,7:164,0.021973217743256657,0.022418876468741647
يتقون,8:56,0.0,0.022418876468741647
يختلفون,27:76,0.015850768626205967,0.03312156941394853
يشركون,30:35,0.0030986972137956705,0.02668279084612215
يشعرون,12:15,0.002964875434875447,0.013103058101668978
يشعرون,23:56,-6.1679056923619804e-18,0.013103058101668978
يشعرون,28:11,0.0042096743092323585,0.013103058101668978
يشعرون,28:9,0.006647919760717436,0.013103058101668978
يشعرون,2:12,0.0,0.013103058101668978
يشعرون,3:69,0.01216709109400993,0.013103058101668978
يشكرون,36:73,2.7755575615628914e-17,0.01861809627484562
يعقلون,36:68,0.003006078035714621,0.0220995348228366
يعلمون,12:46,0.015417238182932839,0.027854531143117145
يعلمون,15:3,0.010668792431853355,0.027854531143117145
يعلمون,29:41,0.022559058897962753,0.027854531143117145
يعلمون,29:64,0.026774175697698036,0.027854531143117145
يعلمون,29:66,0.020926189724168806,0.027854531143117145
يعلمون,2:146,0.0238946666373584,0.027854531143117145
يعلمون,36:36,0.027259020635747578,0.027854531143117145
يعلمون,37:170,0.012164986664372806,0.027854531143117145
يعلمون,3:135,0.025120354416692355,0.027854531143117145
يعلمون,43:86,0.021580207980895577,0.027854531143117145
يعلمون,43:89,0.020016459852848098,0.027854531143117145
يعلمون,45:18,0.016587034888404382,0.027854531143117145
يعلمون,68:44,0.02408288736138513,0.027854531143117145
يعملون,12:19,0.017675280791605328,0.019158296030603986
يعملون,21:27,0.008394641877021537,0.019158296030603986
يعملون,26:169,0.008176861612128071,0.019158296030603986
يفترون,21:20,1.850371707708594e-17,0.0300633094654199
يفترون,29:13,0.02872649766700443,0.0300633094654199
ينصرون,21:39,0.012400024766856699,0.013204663075932065
ينظرون,21:40,0.0,0.012210239205869835
ينظرون,32:29,0.003618148909257894,0.012210239205869835
ينظرون,37:19,0.0,0.012210239205869835
ينظرون,8:6,-2.0185873175002847e-17,0.012210239205869835
