ending,n,fit_z,coh,div_share,top_roots
تكذبان,31,151.6,1.0,1.0,ءلی ربب
للمكذبين,12,91.3,1.0,0.0,ویل یوم
واطيعون,11,58.0,0.727,1.0,وقی ءله
المخلصين,8,43.3,0.735,0.75,عبد ءله
مستقيم,25,40.7,0.275,0.28,صرط هدی عبد شیء
قدير,35,35.8,0.22,0.91,کلل شیء ملک موت حیی ءرض سمو خلق
وعيون,8,32.9,0.54,0.0,جنن وقی
رحيم,60,32.6,0.152,0.93,غفر رءف توب بعد
الحكيم,37,27.4,0.188,0.73,عزز سبح کتب سمو علم
صادقين,31,26.5,0.179,0.13,وعد دون دعو مثل کون ءتی قول
الدين,15,25.2,0.239,0.13,یوم
الرحيم,33,24.1,0.157,0.76,عزز توب غفر عبد ربب نفس
يستهزءون,12,20.4,0.228,0.08,حیق سوء رسل کون ءتی
امين,11,20.3,0.257,0.18,رسل
رحيما,20,19.7,0.176,0.95,غفر توب نسو ءجر وجد بنو
النعيم,10,19.1,0.247,0.1,جنن صلح عمل ءمن
مءمنين,32,18.6,0.133,0.19,کثر ءیی کون وقی
اليم,46,18.3,0.116,0.2,عذب بشر کفر قبل
العالمين,61,18.2,0.1,0.69,ربب
الالباب,12,17.7,0.213,0.33,ءول ذکر نزل
يحزنون,13,17.3,0.212,0.0,خوف ءجر صلح عند عمل
العقاب,12,16.8,0.185,1.0,شدد وقی
نصير,9,15.1,0.226,0.56,ولی دون ظلم ءرض سمو
حكيم,32,14.8,0.106,0.94,عزز علم قلب توب نفق رود
المشركين,15,14.7,0.171,0.27,حنف ملل برهم تبع کون
المءمنون,9,13.5,0.212,0.78,وکل
العظيم,36,13.3,0.098,0.58,فوز تحت خلد جری نهر فضل جنن ذوی
الصادقين,14,13.1,0.166,0.43,وعد ءتی کون جیء
حكيما,16,12.6,0.146,1.0,عزز علم
مسلمون,14,12.6,0.138,0.14,سحق عیس برهم عقب شهد وحد نبو موت
العليم,26,12.2,0.11,0.77,سمع عزز قدر
يشركون,18,11.8,0.124,0.39,علو سبح ضرر خلق عبد
يبعثون,8,11.4,0.202,0.38,نظر یوم قول
المحسنين,29,11.0,0.092,0.41,جزی ضیع حبب ءجر
الامور,12,10.9,0.138,0.75,رجع عزم صبر ءرض سمو
عليم,61,10.8,0.069,0.82,سمع کلل شیء
يشكرون,9,10.8,0.159,0.0,فضل ذوی کثر ءنس
يختلفون,8,10.8,0.188,0.12,قضی حکم بین یوم علم قوم کون ربب
يعملون,43,10.7,0.075,0.26,جزی سوء حسن کون
يظلمون,23,10.5,0.109,0.22,نفس وفی کسب قضی کلل
نصيرا,12,10.3,0.135,0.42,وجد ولی قتل دون
الصدور,15,10.2,0.13,0.8,ذوی خفی سرر علم قلب
الحميد,10,10.2,0.137,0.8,غنی صرط عزز ولی نزل ءنس
خالدون,23,9.5,0.096,0.09,صحب نور وجه عمل نفس جنن کفر
مجرمين,10,9.5,0.143,0.0,کبر بعد قوم رسل
يعلمون,67,9.4,0.055,0.24,کثر ءنس قوم
ظالمين,9,9.2,0.139,0.11,ویل کون
مبين,84,9.1,0.055,0.24,ضلل نذر کتب جیء
الحساب,15,9.1,0.112,0.6,سرع کسب عند یوم
اليما,11,9.1,0.14,0.0,عتد عذب دخل کفر
السبيل,9,8.9,0.141,0.22,سوو ضلل
تكذبون,9,8.9,0.135,0.0,نور کون قول
المصير,23,8.7,0.092,0.39,بءس ءوی جهنم نور کفر غفر ملک
تعملون,50,8.6,0.068,0.42,خبر غفل رجع نبء شهد جزی علم کون
تتقون,18,8.5,0.101,0.17,ءخو غیر عبد
يءمنون,44,8.4,0.067,0.2,رحم ءیی کتب کثر قوم هدی حقق
عليما,9,8.4,0.138,1.0,کلل شیء
