rank,root,gloss,freq,n_forms,n_suras,concentration_z,integrated_score,score_pctile
1,عبد,,275,16,57,49.2,2.508,100.0
2,ءله,God,2848,6,86,61.0,2.471,99.9
3,کذب,,282,16,68,43.3,2.445,99.9
4,قول,say,1722,17,84,21.0,2.332,99.8
5,ءمن,believe,879,28,77,12.7,2.266,99.8
6,ربب,Lord,980,8,94,27.4,2.249,99.7
7,رءی,,328,25,72,12.1,2.157,99.6
8,کون,be,1390,18,86,12.2,2.157,99.6
9,قوم,people,660,45,79,7.1,2.115,99.5
10,یوم,,475,6,80,22.1,2.085,99.5
11,ءنس,,342,10,77,16.7,2.065,99.4
12,ذکر,,292,23,71,8.6,2.000,99.4
13,علم,know,854,20,85,7.2,1.933,99.3
14,شرر,,31,4,22,32.0,1.931,99.2
15,ءلی,bounties(ālāʾ),34,1,3,104.4,1.920,99.2
16,ولد,,102,17,39,10.3,1.888,99.1
17,کفر,,525,20,77,7.1,1.885,99.1
18,یسر,,44,11,27,14.8,1.864,99.0
19,قدر,,132,18,58,7.9,1.836,98.9
20,ویل,,40,4,25,23.9,1.821,98.9
21,رحم,,339,14,62,8.0,1.811,98.8
22,نفق,,111,14,31,9.6,1.793,98.8
23,وصی,,32,11,13,13.9,1.775,98.7
24,دین,,101,6,40,14.4,1.760,98.6
25,کید,,35,6,16,16.6,1.753,98.6
26,نذر,,130,11,50,9.1,1.750,98.5
27,ثقل,,28,12,19,12.5,1.746,98.5
28,ءلف,,22,8,12,15.4,1.735,98.4
29,رسل,,513,16,69,6.1,1.720,98.4
30,جعل,,346,9,66,8.2,1.715,98.3
31,قرء,,88,11,42,8.7,1.697,98.2
32,خلق,,261,12,75,7.0,1.688,98.2
33,دعو,,212,22,55,4.9,1.687,98.1
34,نجو,,84,22,31,6.2,1.686,98.1
35,وحد,,153,10,50,8.4,1.682,98.0
36,دری,,29,7,21,13.4,1.682,97.9
37,وقی,,258,21,63,4.2,1.660,97.9
38,عمل,,360,13,68,5.7,1.636,97.8
39,رضو,,73,20,32,5.8,1.627,97.8
40,ءبو,,117,9,37,8.1,1.615,97.7
41,وسوس,,5,4,4,21.4,1.614,97.6
42,هدی,,316,30,62,2.7,1.613,97.6
43,عسر,,12,7,9,13.4,1.611,97.5
44,ولی,,232,26,55,3.2,1.611,97.5
45,لیل,,92,5,49,9.9,1.610,97.4
46,حسد,,5,5,4,17.4,1.601,97.4
47,صحب,,97,6,47,8.8,1.593,97.3
48,کتب,,319,14,61,5.0,1.586,97.2
49,کرم,,47,12,29,7.3,1.586,97.2
50,صلو,,99,9,37,7.9,1.582,97.1
51,سمو,,381,12,81,4.2,1.581,97.1
52,لقی,,146,33,53,2.5,1.581,97.0
53,ءسف,,32,4,7,14.9,1.573,96.9
54,یقن,,28,9,19,8.5,1.551,96.9
55,نصر,,158,27,46,2.9,1.551,96.8
56,طوع,,129,24,40,3.5,1.541,96.8
57,شیء,,519,12,73,4.1,1.537,96.7
58,شهد,,160,23,48,3.2,1.520,96.6
59,ذوی,,143,8,55,6.8,1.510,96.6
60,شرک,,168,15,44,4.2,1.508,96.5
61,قتل,,170,18,33,3.8,1.506,96.5
62,عطو,,14,7,11,9.1,1.496,96.4
63,غفر,,234,19,56,3.0,1.483,96.4
64,تبب,,4,3,3,15.7,1.467,96.3
65,قلب,,168,15,48,3.7,1.458,96.2
66,خرج,,182,21,56,2.7,1.447,96.2
67,جنن,,201,9,70,4.4,1.438,96.1
68,غنی,,73,14,44,4.2,1.434,96.1
69,حسب,,109,12,40,4.5,1.434,96.0
70,وجد,,107,5,32,7.6,1.432,95.9
71,سلم,,157,19,50,2.8,1.429,95.9
72,صلی,,25,14,21,5.2,1.429,95.8
73,قرع,,5,1,3,28.2,1.403,95.8
74,طعم,,48,10,26,5.6,1.401,95.7
75,وزن,,23,6,14,7.9,1.400,95.6
76,فجر,,24,10,16,6.8,1.400,95.6
77,ءتی,,549,31,72,1.3,1.396,95.5
78,ءخذ,,273,23,55,2.1,1.389,95.5
79,بین,,523,16,71,2.3,1.386,95.4
80,توب,,87,16,25,3.7,1.386,95.4
81,نبو,,80,7,23,6.4,1.382,95.3
82,عدو,,106,22,34,2.6,1.377,95.2
83,ءمر,,248,13,61,3.0,1.373,95.2
84,حمل,,64,13,29,3.9,1.373,95.1
85,ءیی,,382,3,59,7.0,1.370,95.1
86,کبر,,161,25,57,1.9,1.362,95.0
87,مول,,86,5,38,6.3,1.347,94.9
88,سءل,,129,16,47,2.7,1.339,94.9
89,عذب,,373,11,68,2.8,1.335,94.8
90,ظنن,,69,9,32,4.5,1.332,94.8
91,حطم,,6,3,5,12.3,1.328,94.7
92,سحر,,63,12,27,3.7,1.312,94.7
93,زلزل,,6,4,4,9.4,1.307,94.6
94,نزل,,293,18,60,1.9,1.303,94.5
95,حیی,,189,25,50,1.5,1.303,94.5
96,لهب,,3,1,2,25.3,1.301,94.4
97,ءخو,,96,11,31,3.6,1.298,94.4
98,موت,,165,25,53,1.6,1.294,94.3
99,نشء,,28,9,14,5.2,1.293,94.2
100,یتم,,23,4,12,7.8,1.286,94.2
101,غشو,,29,15,23,3.1,1.281,94.1
102,سفل,,10,5,9,7.1,1.270,94.1
103,عصر,,5,5,4,7.8,1.269,94.0
104,ءوب,,21,7,11,6.1,1.268,93.9
105,عین,,65,9,37,3.7,1.267,93.9
106,نعم,,140,9,61,3.1,1.265,93.8
107,سبح,,92,10,49,3.1,1.262,93.8
108,سوو,,83,16,48,2.2,1.256,93.7
109,عدد,,57,13,26,3.0,1.255,93.7
110,جمع,,129,18,45,2.0,1.252,93.6
111,نهی,,56,24,26,1.9,1.251,93.5
112,بیت,,73,7,29,3.9,1.243,93.5
113,عقب,,96,15,36,2.4,1.234,93.4
114,لهو,,16,8,13,4.9,1.233,93.4
115,ظهر,,59,16,30,2.4,1.232,93.3
116,رفع,,29,9,21,4.1,1.232,93.2
117,نظر,,129,16,48,2.0,1.228,93.2
118,صبر,,103,15,45,2.3,1.224,93.1
119,وعد,,151,16,51,1.9,1.223,93.1
120,زید,,62,16,32,2.3,1.222,93.0
121,کفء,,1,1,1,29.7,1.215,92.9
122,قبر,,8,4,8,7.3,1.209,92.9
123,طلع,,19,9,13,4.1,1.199,92.8
124,حکم,,210,14,57,1.9,1.199,92.8
125,عوذ,,17,6,14,5.1,1.195,92.7
126,ضلل,,191,18,56,1.4,1.193,92.7
127,قسم,,33,11,24,2.8,1.180,92.6
128,وزر,,27,8,11,3.9,1.179,92.5
129,حقق,,287,7,59,2.6,1.176,92.5
130,یمن,,71,4,34,4.5,1.173,92.4
131,حضض,,3,2,3,10.7,1.172,92.4
132,سجد,,92,15,32,2.1,1.170,92.3
133,مرء,,38,8,22,3.5,1.170,92.2
134,ملک,,206,14,63,1.7,1.167,92.2
135,نور,,194,6,62,2.8,1.164,92.1
136,حفظ,,44,17,23,2.0,1.162,92.1
137,شنء,,3,2,2,11.9,1.162,92.0
138,صمد,Eternal,1,1,1,17.2,1.153,91.9
139,عصف,,7,5,6,5.7,1.149,91.9
140,علو,,70,21,41,1.4,1.144,91.8
141,بلد,,19,4,15,5.6,1.142,91.8
142,حسن,,194,17,50,1.4,1.141,91.7
