global_rank,root,gloss,freq,n_forms,n_suras,prominence_pctile,living(+)/frozen(-),signature_rank,dom_sura,conc_z,conc_q
1,ءله,God,2848,6,86,100.0,-0.74,,112,60.6,0.0243
2,قول,say,1722,17,84,99.9,-0.25,,112,21.5,0.0243
3,کون,be,1390,18,86,99.9,-0.19,,112,12.3,0.0243
4,ربب,Lord,980,8,94,99.8,-0.46,,108,27.7,0.0243
5,ءمن,believe,879,28,77,99.8,+0.07,,103,12.9,0.0243
6,علم,know,854,20,85,99.7,-0.07,,102,7.2,0.0243
7,قوم,people,660,45,79,99.6,+0.31,,98,6.9,0.0243
8,ءتی,come,549,31,72,99.6,+0.18,,98,1.2,0.353
9,کفر,disbelieve,525,20,77,99.5,+0.01,,109,7.0,0.0243
10,بین,between/clarify,523,16,71,99.5,-0.08,,60,2.3,0.162
11,شیء,thing,519,12,73,99.4,-0.20,,81,4.2,0.04
12,رسل,messenger,513,16,69,99.4,-0.08,,105,6.3,0.0243
13,یوم,day,475,6,80,99.3,-0.45,,77,22.1,0.0243
14,ءرض,earth,461,2,80,99.2,-0.82,,99,2.2,0.183
15,ءیی,,382,3,59,99.2,-0.66,,45,6.8,0.0243
16,سمو,,381,12,81,99.1,-0.15,,86,4.2,0.04
17,کلل,,377,4,74,99.1,-0.56,,97,-0.1,0.712
18,عذب,,373,11,68,99.0,-0.18,,88,2.8,0.115
19,عمل,,360,13,68,98.9,-0.11,,99,5.6,0.04
20,جعل,,346,9,66,98.9,-0.25,,105,8.2,0.0243
21,ءنس,,342,10,77,98.8,-0.20,,114,16.9,0.0243
22,رحم,,339,14,62,98.8,-0.07,,1,8.1,0.0243
23,رءی,,328,25,72,98.7,+0.18,,107,12.3,0.0243
24,کتب,,319,14,61,98.6,-0.06,,98,5.1,0.0531
25,هدی,,316,30,62,98.6,+0.26,,1,2.7,0.153
26,ظلم,,315,17,59,98.5,+0.02,,62,-0.0,0.663
27,نفس,,298,7,63,98.5,-0.32,,82,1.8,0.226
28,قبل,,294,15,64,98.4,-0.02,,51,-0.9,0.897
29,نزل,,293,18,60,98.4,+0.06,,97,1.9,0.215
30,ذکر,,292,23,71,98.3,+0.16,,87,8.6,0.0243
31,حقق,,287,7,59,98.2,-0.31,,103,2.7,0.153
32,کذب,,282,16,68,98.2,+0.02,,55,42.6,0.0243
33,جیء,,278,4,62,98.1,-0.51,,110,2.6,0.157
34,عبد,,275,16,57,98.1,+0.02,,109,50.2,0.0243
35,ءخذ,,273,23,55,98.0,+0.17,,73,2.0,0.201
36,خلق,,261,12,75,97.9,-0.09,,113,6.9,0.0243
37,وقی,,258,21,63,97.9,+0.14,,92,4.2,0.0531
38,ءخر,,250,16,64,97.8,+0.04,,93,0.6,0.487
39,ءمر,,248,13,61,97.8,-0.05,,97,3.1,0.0857
40,بعد,,235,6,57,97.7,-0.34,,95,0.2,0.608
41,غفر,,234,19,56,97.6,+0.12,,110,3.0,0.127
42,ولی,,232,26,55,97.6,+0.25,,75,3.3,0.115
43,دعو,,212,22,55,97.5,+0.19,,96,4.9,0.0531
44,حکم,,210,14,57,97.5,+0.01,,95,2.0,0.201
45,ملک,,206,14,63,97.4,+0.01,,114,1.6,0.266
46,عند,,201,3,62,97.4,-0.56,,92,-1.0,0.919
47,جنن,,201,9,70,97.3,-0.16,,114,4.4,0.0531
48,خیر,,196,11,55,97.2,-0.08,,97,1.8,0.21
49,حسن,,194,17,50,97.2,+0.10,,92,1.3,0.312
50,نور,,194,6,62,97.1,-0.31,,111,2.8,0.137
51,ضلل,,191,18,56,97.1,+0.13,,105,1.4,0.308
52,حیی,,189,25,50,97.0,+0.27,,87,1.5,0.271
53,سمع,,185,16,57,96.9,+0.08,,72,1.0,0.39
54,خرج,,182,21,56,96.9,+0.20,,99,2.7,0.134
55,صلح,,180,15,54,96.8,+0.06,,103,0.8,0.431
56,سبل,,176,5,47,96.8,-0.36,,47,2.1,0.21
57,تبع,,174,13,52,96.7,+0.01,,47,-0.5,0.786
58,ءول,,172,13,54,96.6,+0.01,,93,1.5,0.283
59,قتل,,170,18,33,96.6,+0.15,,81,3.8,0.0857
60,مثل,,169,9,50,96.5,-0.13,,62,0.9,0.415
61,شرک,,168,15,44,96.5,+0.07,,98,4.2,0.0531
62,قلب,,168,15,48,96.4,+0.07,,83,3.5,0.0531
63,کثر,,167,10,51,96.4,-0.09,,108,1.7,0.233
64,سوء,,166,17,45,96.3,+0.13,,45,1.1,0.385
65,موت,,165,25,53,96.2,+0.29,,87,1.6,0.252
66,بنو,,162,10,46,96.2,-0.08,,61,1.6,0.264
67,کبر,,161,25,57,96.1,+0.29,,87,1.8,0.24
68,شهد,,160,23,48,96.1,+0.26,,85,3.2,0.0857
69,نصر,,158,27,46,96.0,+0.33,,110,2.9,0.141
70,بعض,,158,3,38,95.9,-0.52,,49,2.3,0.19
71,سلم,,157,19,50,95.9,+0.18,,97,2.8,0.145
72,صدق,,155,25,49,95.8,+0.30,,92,0.5,0.52
73,غیر,,154,5,46,95.8,-0.34,,1,1.6,0.251
74,وحد,,153,10,50,95.7,-0.07,,112,8.4,0.0243
75,وعد,,151,16,51,95.6,+0.12,,50,2.0,0.209
76,بصر,,148,15,62,95.6,+0.09,,67,1.3,0.331
77,رود,,148,13,47,95.5,+0.04,,86,0.7,0.478
78,لقی,,146,33,53,95.5,+0.42,,84,2.6,0.157
79,دون,,144,1,46,95.4,-0.80,,72,0.3,0.557
