root,freq,GLOBAL_role,global_knockout_dGC,in_system,LOCAL_conc_q,unit_defining,class
NA,20,outside-system,0.0000,0,0.719,0,supporting
ءبب,1,outside-system,0.0000,0,0.192,0,supporting
ءبد,28,system-peripheral,0.0000,1,0.407,0,supporting
ءبق,1,outside-system,0.0000,0,0.537,0,supporting
ءبل,3,outside-system,0.0000,0,0.0892,0,supporting
ءبو,117,system-peripheral,0.0000,1,0.0373,0,supporting
ءبی,13,system-peripheral,0.0000,1,0.909,0,supporting
ءتی,549,system-core,0.0000,1,0.339,0,supporting
ءثث,2,outside-system,0.0000,0,0.729,0,supporting
ءثر,21,system-peripheral,0.0000,1,0.376,0,supporting
ءثل,1,outside-system,0.0000,0,0.523,0,supporting
ءثم,48,system-peripheral,0.0000,1,0.536,0,supporting
ءجج,7,system-peripheral,0.0000,1,0.504,0,supporting
ءجر,108,system-core,0.0000,1,0.196,0,supporting
ءجل,56,system-peripheral,0.0000,1,0.536,0,supporting
ءخذ,273,system-core,0.0023,1,0.186,0,supporting
ءخر,250,system-core,0.0000,1,0.528,0,supporting
ءخو,96,system-core,0.0000,1,0.0745,0,supporting
ءدد,1,outside-system,0.0000,0,0.585,0,supporting
ءدم,25,system-peripheral,0.0000,1,0.598,0,supporting
ءدی,6,system-peripheral,0.0000,1,0.844,0,supporting
ءذن,102,system-core,0.0000,1,0.236,0,supporting
ءذی,24,system-peripheral,0.0000,1,0.437,0,supporting
ءرب,2,outside-system,0.0000,0,0.737,0,supporting
ءرض,461,system-core,0.0023,1,0.165,0,supporting
ءرم,1,outside-system,0.0000,0,0.172,0,supporting
ءرک,5,system-peripheral,0.0000,1,0.189,0,supporting
ءزر,3,outside-system,0.0000,0,0.722,0,supporting
ءزز,2,outside-system,0.0000,0,0.444,0,supporting
ءزف,3,outside-system,0.0000,0,0.23,0,supporting
ءسر,6,system-peripheral,0.0000,1,0.255,0,supporting
ءسس,3,outside-system,0.0000,0,0.617,0,supporting
ءسف,32,system-peripheral,0.0000,1,0.0373,1,unit-defining
ءسن,1,outside-system,0.0000,0,0.397,0,supporting
ءسو,3,system-peripheral,0.0000,1,0.234,0,supporting
ءسی,4,system-peripheral,0.0000,1,0.767,0,supporting
ءشر,2,outside-system,0.0000,0,0.192,0,supporting
ءصد,2,outside-system,0.0000,0,0.0745,0,supporting
ءصر,3,system-peripheral,0.0000,1,1,0,supporting
ءصل,10,system-peripheral,0.0000,1,0.636,0,supporting
ءفف,3,outside-system,0.0000,0,0.661,0,supporting
ءفق,3,outside-system,0.0000,0,0.201,0,supporting
ءفل,4,system-peripheral,0.0000,1,0.569,0,supporting
ءفک,30,system-peripheral,0.0000,1,0.466,0,supporting
ءلت,1,outside-system,0.0000,0,0.29,0,supporting
ءلس,3,outside-system,0.0000,0,0.466,0,supporting
ءلف,22,system-peripheral,0.0000,1,0.0373,1,unit-defining
