root,freq,n_forms,n_suras,n_ayat,PROMINENCE_pctile,morph_resid(living=+/frozen=-),CONCENTRATION_q(sura),signature_sig,classification
ءله,2848,6,86,1877,100.0,-0.74,0.0243,1,Prominent·FROZEN +signature
قول,1722,17,84,1383,99.9,-0.25,0.0243,1,Prominent·LIVING +signature
کون,1390,18,86,1176,99.9,-0.19,0.0243,1,Prominent·LIVING +signature
ربب,980,8,94,871,99.8,-0.46,0.0243,1,Prominent·FROZEN +signature
ءمن,879,28,77,723,99.8,+0.07,0.0243,1,Prominent·LIVING +signature
علم,854,20,85,728,99.7,-0.07,0.0243,1,Prominent·LIVING +signature
قوم,660,45,79,597,99.6,+0.31,0.0243,1,Prominent·LIVING +signature
ءتی,549,31,72,486,99.6,+0.18,0.353,0,Prominent·LIVING
کفر,525,20,77,465,99.5,+0.01,0.0243,1,Prominent·LIVING +signature
بین,523,16,71,454,99.5,-0.08,0.162,0,Prominent·LIVING
شیء,519,12,73,449,99.4,-0.20,0.04,1,Prominent·LIVING +signature
رسل,513,16,69,429,99.4,-0.08,0.0243,1,Prominent·LIVING +signature
یوم,475,6,80,437,99.3,-0.45,0.0243,1,Prominent·FROZEN +signature
ءرض,461,2,80,440,99.2,-0.82,0.183,0,Prominent·FROZEN
ءیی,382,3,59,353,99.2,-0.66,0.0243,1,Prominent·FROZEN +signature
سمو,381,12,81,352,99.1,-0.15,0.04,1,Prominent·LIVING +signature
کلل,377,4,74,355,99.1,-0.56,0.712,0,Prominent·FROZEN
عذب,373,11,68,336,99.0,-0.18,0.115,0,Prominent·LIVING
عمل,360,13,68,313,98.9,-0.11,0.04,1,Prominent·LIVING +signature
جعل,346,9,66,311,98.9,-0.25,0.0243,1,Prominent·LIVING +signature
ءنس,342,10,77,321,98.8,-0.20,0.0243,1,Prominent·LIVING +signature
رحم,339,14,62,313,98.8,-0.07,0.0243,1,Prominent·LIVING +signature
رءی,328,25,72,297,98.7,+0.18,0.0243,1,Prominent·LIVING +signature
کتب,319,14,61,279,98.6,-0.06,0.0531,0,Prominent·LIVING
هدی,316,30,62,268,98.6,+0.26,0.153,0,Prominent·LIVING
ظلم,315,17,59,290,98.5,+0.02,0.663,0,Prominent·LIVING
نفس,298,7,63,270,98.5,-0.32,0.226,0,Prominent·LIVING
قبل,294,15,64,282,98.4,-0.02,0.897,0,Prominent·LIVING
نزل,293,18,60,257,98.4,+0.06,0.215,0,Prominent·LIVING
ذکر,292,23,71,264,98.3,+0.16,0.0243,1,Prominent·LIVING +signature
حقق,287,7,59,263,98.2,-0.31,0.153,0,Prominent·LIVING
کذب,282,16,68,257,98.2,+0.02,0.0243,1,Prominent·LIVING +signature
جیء,278,4,62,262,98.1,-0.51,0.157,0,Prominent·FROZEN
عبد,275,16,57,251,98.1,+0.02,0.0243,1,Prominent·LIVING +signature
ءخذ,273,23,55,244,98.0,+0.17,0.201,0,Prominent·LIVING
خلق,261,12,75,218,97.9,-0.09,0.0243,1,Prominent·LIVING +signature
وقی,258,21,63,237,97.9,+0.14,0.0531,0,Prominent·LIVING
ءخر,250,16,64,242,97.8,+0.04,0.487,0,Prominent·LIVING
ءمر,248,13,61,226,97.8,-0.05,0.0857,0,Prominent·LIVING
بعد,235,6,57,223,97.7,-0.34,0.608,0,Prominent·LIVING
غفر,234,19,56,202,97.6,+0.12,0.127,0,Prominent·LIVING
ولی,232,26,55,202,97.6,+0.25,0.115,0,Prominent·LIVING
دعو,212,22,55,182,97.5,+0.19,0.0531,0,Prominent·LIVING
حکم,210,14,57,189,97.5,+0.01,0.201,0,Prominent·LIVING
ملک,206,14,63,191,97.4,+0.01,0.266,0,Prominent·LIVING
عند,201,3,62,189,97.4,-0.56,0.919,0,Prominent·FROZEN
جنن,201,9,70,196,97.3,-0.16,0.0531,0,Prominent·LIVING
خیر,196,11,55,178,97.2,-0.08,0.21,0,Prominent·LIVING
حسن,194,17,50,177,97.2,+0.10,0.312,0,Prominent·LIVING
نور,194,6,62,174,97.1,-0.31,0.137,0,Prominent·LIVING
ضلل,191,18,56,170,97.1,+0.13,0.308,0,Prominent·LIVING
حیی,189,25,50,166,97.0,+0.27,0.271,0,Prominent·LIVING
سمع,185,16,57,163,96.9,+0.08,0.39,0,Prominent·LIVING
خرج,182,21,56,157,96.9,+0.20,0.134,0,Prominent·LIVING
صلح,180,15,54,170,96.8,+0.06,0.431,0,Prominent·LIVING
سبل,176,5,47,164,96.8,-0.36,0.21,0,Prominent·LIVING
تبع,174,13,52,158,96.7,+0.01,0.786,0,Prominent·LIVING
ءول,172,13,54,160,96.6,+0.01,0.283,0,Prominent·LIVING
قتل,170,18,33,122,96.6,+0.15,0.0857,0,Prominent·LIVING
مثل,169,9,50,148,96.5,-0.13,0.415,0,Prominent·LIVING
شرک,168,15,44,143,96.5,+0.07,0.0531,0,Prominent·LIVING
قلب,168,15,48,155,96.4,+0.07,0.0531,0,Prominent·LIVING
کثر,167,10,51,162,96.4,-0.09,0.233,0,Prominent·LIVING
سوء,166,17,45,150,96.3,+0.13,0.385,0,Prominent·LIVING
موت,165,25,53,143,96.2,+0.29,0.252,0,Prominent·LIVING
بنو,162,10,46,132,96.2,-0.08,0.264,0,Prominent·LIVING
کبر,161,25,57,153,96.1,+0.29,0.24,0,Prominent·LIVING
شهد,160,23,48,123,96.1,+0.26,0.0857,0,Prominent·LIVING
نصر,158,27,46,137,96.0,+0.33,0.141,0,Prominent·LIVING
بعض,158,3,38,87,95.9,-0.52,0.19,0,Prominent·FROZEN
سلم,157,19,50,142,95.9,+0.18,0.145,0,Prominent·LIVING
