sura	n_verses	n_tokens	n_letters	mean_vlen	sd_vlen	cv_vlen	mean_wordlen	vlen_ac1	dom_final_frac	final_entropy	dom_final2_frac	longest_rhyme_run	rhyme_change_rate	letter_entropy	vocab	ttr	hapax_frac	top1_content_frac	repeat_rate	lex_entropy	bigram_repeat
1	7	29	143	4.1429	2.0996	0.5068	4.931	-0.2302	0.5714	0.9852	0.5714	2	0.8333	3.8083	26	0.8966	0.8846	0.0769	0.1034	4.6511	0.037
2	286	6140	26249	21.4685	14.1801	0.6605	4.2751	0.1754	0.6748	1.4587	0.451	49	0.3965	4.1214	2261	0.3682	0.667	0.0075	0.6318	9.7318	0.131
3	200	3501	14985	17.505	9.3654	0.535	4.2802	0.0128	0.6	1.8872	0.31	24	0.4623	4.088	1463	0.4179	0.6979	0.011	0.5821	9.271	0.1127
4	176	3765	16342	21.392	12.7422	0.5957	4.3405	0.2159	0.9602	0.2869	0.2898	131	0.0457	4.0965	1510	0.4011	0.6815	0.0116	0.5989	9.2777	0.1239
5	120	2837	12206	23.6417	12.7833	0.5407	4.3024	0.1071	0.6667	1.4886	0.35	13	0.3782	4.0922	1242	0.4378	0.7005	0.0091	0.5622	9.1724	0.1101
6	165	3056	12726	18.5212	9.1999	0.4967	4.1643	0.0528	0.8727	0.7401	0.5455	20	0.2195	4.1686	1352	0.4424	0.6916	0.0123	0.5576	9.3532	0.0962
7	206	3341	14435	16.2184	9.2839	0.5724	4.3206	0.2279	0.9369	0.4022	0.4806	42	0.122	4.1448	1547	0.463	0.7175	0.0081	0.537	9.5814	0.0921
8	75	1242	5387	16.56	7.3779	0.4455	4.3374	0.0038	0.52	1.8547	0.32	7	0.4459	4.0943	635	0.5113	0.7339	0.0137	0.4887	8.4851	0.0829
9	129	2505	11115	19.4186	7.5346	0.388	4.4371	0.0098	0.6667	1.1709	0.4186	19	0.3203	4.0925	1118	0.4463	0.7102	0.0107	0.5537	9.0502	0.1063
10	109	1839	7589	16.8716	8.0664	0.4781	4.1267	0.0484	0.8991	0.5162	0.5413	38	0.1667	4.1025	881	0.4791	0.7128	0.0104	0.5209	8.8346	0.0835
11	123	1946	7817	15.8211	6.7101	0.4241	4.017	0.0509	0.4553	2.5053	0.2276	13	0.4426	4.1357	927	0.4764	0.7217	0.0166	0.5236	8.9477	0.0908
12	111	1795	7307	16.1712	7.7015	0.4762	4.0708	0.1506	0.8378	0.7697	0.4234	18	0.3	4.1276	915	0.5097	0.7202	0.015	0.4903	9.0042	0.087
13	43	853	3545	19.8372	10.2547	0.5169	4.1559	0.1069	0.3488	2.4816	0.3256	5	0.6429	4.1408	508	0.5955	0.7933	0.0116	0.4045	8.3703	0.0635
14	52	830	3539	15.9615	8.3918	0.5257	4.2639	0.4022	0.2115	2.9547	0.1923	4	0.6078	4.1441	503	0.606	0.7773	0.0101	0.394	8.3548	0.0474
15	99	657	2882	6.6364	2.5244	0.3804	4.3866	0.1046	0.8182	0.7755	0.4949	20	0.2959	4.0758	426	0.6484	0.8052	0.0169	0.3516	8.2371	0.0333
16	128	1844	7832	14.4062	5.9285	0.4115	4.2473	0.2612	0.8594	0.6566	0.6641	28	0.2756	4.14	915	0.4962	0.7213	0.0077	0.5038	8.9215	0.1001
17	111	1558	6643	14.036	4.8601	0.3463	4.2638	-0.1155	0.991	0.0741	0.4505	110	0.0091	4.1659	882	0.5661	0.7506	0.0085	0.4339	9.1261	0.0593
18	110	1583	6552	14.3909	7.3868	0.5133	4.139	0.1703	0.9909	0.0747	0.2545	97	0.0183	4.2226	909	0.5742	0.7569	0.0091	0.4258	9.1938	0.0477
19	98	971	3935	9.9082	4.1406	0.4179	4.0525	0.1214	0.9184	0.5139	0.6735	58	0.0515	4.1274	585	0.6025	0.7521	0.0146	0.3975	8.667	0.0485
20	135	1353	5399	10.0222	5.8176	0.5805	3.9904	0.2401	0.637	1.3945	0.1037	29	0.1791	4.2167	804	0.5942	0.7923	0.0158	0.4058	8.9768	0.0358
21	112	1174	5094	10.4821	3.8219	0.3646	4.339	0.0652	0.9464	0.3014	0.5446	55	0.1081	4.112	670	0.5707	0.7522	0.0135	0.4293	8.7884	0.0499
22	78	1279	5314	16.3974	9.7209	0.5928	4.1548	-0.0511	0.3205	2.6925	0.2179	4	0.7273	4.1427	691	0.5403	0.7742	0.0153	0.4597	8.5105	0.0813
23	118	1052	4483	8.9153	4.8496	0.544	4.2614	0.075	0.9661	0.2136	0.6864	50	0.0684	4.1451	618	0.5875	0.7557	0.014	0.4125	8.7333	0.0616
24	64	1319	5754	20.6094	14.4402	0.7007	4.3624	0.0145	0.4844	1.6364	0.3594	10	0.4603	4.14	672	0.5095	0.7292	0.0109	0.4905	8.5602	0.0971
25	77	896	3878	11.6364	4.1464	0.3563	4.3281	0.1468	0.987	0.1	0.5584	60	0.0263	4.1218	572	0.6384	0.7587	0.0099	0.3616	8.7648	0.0278
26	227	1320	5630	5.815	2.6864	0.462	4.2652	0.054	0.8502	0.6876	0.511	19	0.2566	4.0802	642	0.4864	0.7336	0.0171	0.5136	8.4872	0.0831
27	93	1159	4790	12.4624	5.3972	0.4331	4.1329	0.2559	0.9032	0.4587	0.5376	37	0.1739	4.1398	675	0.5824	0.7689	0.0092	0.4176	8.7959	0.0551
28	88	1438	5930	16.3409	6.7536	0.4133	4.1238	0.1193	0.9205	0.5244	0.4773	50	0.1149	4.1298	787	0.5473	0.7459	0.0172	0.4527	8.8345	0.0659
29	69	978	4317	14.1739	6.0192	0.4247	4.4141	-0.1082	0.8551	0.7247	0.4928	17	0.2353	4.0449	573	0.5859	0.7574	0.0088	0.4141	8.5035	0.0657
30	60	817	3472	13.6167	6.2984	0.4626	4.2497	0.2783	0.9	0.5608	0.75	22	0.1525	4.1621	450	0.5508	0.7467	0.0141	0.4492	8.112	0.0847
31	34	550	2171	16.1765	7.7743	0.4806	3.9473	0.4044	0.4706	1.8624	0.2647	8	0.3939	4.1313	339	0.6164	0.8024	0.0137	0.3836	7.8063	0.0533
32	30	372	1563	12.4	4.8346	0.3899	4.2016	0.1984	0.9	0.5608	0.7333	16	0.1724	4.1024	278	0.7473	0.8417	0.0147	0.2527	7.8305	0.0109
33	73	1303	5788	17.8493	11.3568	0.6363	4.4421	0.2776	0.9863	0.1044	0.2877	69	0.0278	4.0502	687	0.5272	0.754	0.0186	0.4728	8.5276	0.0854
34	54	884	3594	16.3704	7.1707	0.438	4.0656	0.0294	0.4074	2.25	0.2037	16	0.4717	4.1374	513	0.5803	0.768	0.0114	0.4197	8.373	0.0612
