sura	n_verses	n_tokens	n_letters	vl_mean	vl_sd	vl_skew	vl_kurt	vl_med	vl_min	vl_max	vl_cv	vl_ac1	vl_ac2	vl_ac3	wl_mean	wl_sd	wl_skew	wl_kurt	wl_frac1	wl_frac2	wl_frac3	wl_frac4	wl_frac5	let_ء	let_ا	let_ب	let_ة	let_ت	let_ث	let_ج	let_ح	let_خ	let_د	let_ذ	let_ر	let_ز	let_س	let_ش	let_ص	let_ض	let_ط	let_ظ	let_ع	let_غ	let_ف	let_ق	let_ك	let_ل	let_م	let_ن	let_ه	let_و	let_ى	let_ي	letter_entropy	fin_ء	fin_ا	fin_ب	fin_ة	fin_ت	fin_ث	fin_ج	fin_ح	fin_خ	fin_د	fin_ذ	fin_ر	fin_ز	fin_س	fin_ش	fin_ص	fin_ض	fin_ط	fin_ظ	fin_ع	fin_غ	fin_ف	fin_ق	fin_ك	fin_ل	fin_م	fin_ن	fin_ه	fin_و	fin_ى	fin_ي	dom_final_frac	final_entropy	dom_final2_frac	longest_rhyme_run	rhyme_change_rate	vocab	ttr	hapax_frac	lex_entropy	repeat_rate	top1_frac	top5_frac	top10_frac	bigram_repeat	trigram_repeat	burst	rel_pos
1	7	29	143	4.14286	2.09956	1.57062	1.27186	4.0	2	9	0.50679	-0.23016	0.16116	-0.09091	4.93103	1.50702	0.17768	-0.53319	0.0	0.03448	0.17241	0.17241	0.62069	0.0	0.18182	0.02797	0.0	0.02098	0.0	0.0	0.03497	0.0	0.02797	0.00699	0.05594	0.0	0.02098	0.0	0.01399	0.01399	0.01399	0.0	0.04196	0.01399	0.0	0.00699	0.02098	0.15385	0.1049	0.07692	0.03497	0.02797	0.0	0.0979	3.80831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42857	0.57143	0.0	0.0	0.0	0.0	0.57143	0.98523	0.57143	2	0.83333	26	0.89655	0.88462	4.65108	0.10345	0.07692	0.30769	0.5	0.03704	0.0	-0.55904	0.00877
2	286	6140	26249	21.46853	14.18006	2.61255	12.23899	17.0	1	129	0.6605	0.17541	0.15364	0.09154	4.27508	1.60822	0.45953	-0.38332	0.0	0.14511	0.21384	0.22736	0.41368	0.00476	0.17966	0.03497	0.00823	0.03695	0.00488	0.00762	0.0125	0.00728	0.01745	0.01257	0.0333	0.00408	0.01718	0.0064	0.0059	0.00507	0.00377	0.00236	0.03036	0.00286	0.02861	0.02107	0.0317	0.12195	0.08351	0.07692	0.0456	0.08019	0.00792	0.06438	4.12141	0.0	0.0	0.03147	0.0	0.0	0.0	0.0	0.0	0.0	0.02448	0.0	0.07343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035	0.0	0.0035	0.18881	0.67483	0.0	0.0	0.0	0.0	0.67483	1.45873	0.45105	49	0.39649	2261	0.36824	0.66696	9.73175	0.63176	0.00751	0.0314	0.05484	0.131	0.06496	0.14058	0.01754
3	200	3501	14985	17.505	9.36536	1.75625	6.42938	15.0	1	75	0.53501	0.01278	0.14283	-0.03616	4.28021	1.64503	0.4363	-0.43714	0.0	0.16281	0.19252	0.22365	0.42102	0.00454	0.17744	0.0383	0.00667	0.03717	0.00347	0.00621	0.01141	0.00694	0.01682	0.01455	0.0339	0.00447	0.01515	0.00574	0.00587	0.0044	0.00334	0.0024	0.02556	0.00414	0.02643	0.02042	0.03237	0.12626	0.08315	0.08222	0.04431	0.07915	0.00634	0.07087	4.088	0.015	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.115	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.005	0.0	0.015	0.15	0.6	0.0	0.0	0.0	0.0	0.6	1.88719	0.31	24	0.46231	1463	0.41788	0.69788	9.27095	0.58212	0.011	0.03667	0.06153	0.11269	0.04953	0.10349	0.02632
4	176	3765	16342	21.39205	12.74219	1.96137	5.33067	18.0	3	88	0.59565	0.21587	0.00034	-0.09795	4.3405	1.63246	0.50869	-0.12104	0.0	0.13811	0.20505	0.21142	0.44542	0.00434	0.18407	0.02925	0.0071	0.03445	0.00459	0.00838	0.01212	0.00783	0.01842	0.01108	0.02998	0.00312	0.01872	0.00502	0.00753	0.00618	0.00398	0.00275	0.02472	0.00379	0.03078	0.0156	0.03561	0.12006	0.07979	0.08163	0.047	0.08273	0.00728	0.07208	4.09654	0.0	0.96023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00568	0.02841	0.00568	0.0	0.0	0.0	0.0	0.96023	0.28694	0.28977	131	0.04571	1510	0.40106	0.68146	9.2777	0.59894	0.0116	0.0419	0.06846	0.12393	0.05455	0.15495	0.03509
5	120	2837	12206	23.64167	12.78332	1.42104	1.81423	21.0	7	68	0.54071	0.10713	0.01984	0.03717	4.30243	1.61095	0.44344	-0.32186	0.0	0.14663	0.19774	0.22912	0.42651	0.00508	0.18843	0.03228	0.00713	0.03212	0.00483	0.00762	0.01401	0.00696	0.01893	0.01491	0.03105	0.00467	0.01753	0.00516	0.00606	0.00434	0.00426	0.00147	0.02769	0.00385	0.02384	0.02171	0.03146	0.11961	0.08512	0.0798	0.04342	0.07709	0.00664	0.07291	4.09225	0.0	0.0	0.03333	0.0	0.0	0.0	0.0	0.0	0.0	0.01667	0.0	0.05833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.2	0.66667	0.0	0.0	0.0	0.0	0.66667	1.48856	0.35	13	0.37815	1242	0.43779	0.70048	9.17242	0.56221	0.00907	0.0398	0.06549	0.11012	0.0532	0.10326	0.04386
6	165	3056	12726	18.52121	9.19986	1.05488	0.65746	16.0	5	49	0.49672	0.05279	0.09293	0.0421	4.16427	1.60063	0.52489	-0.36224	0.0	0.15903	0.24018	0.21368	0.38711	0.00629	0.16981	0.0356	0.0055	0.03175	0.00456	0.00919	0.01257	0.00589	0.01564	0.01627	0.0396	0.00519	0.01666	0.01037	0.00542	0.00519	0.00409	0.00377	0.029	0.00393	0.0231	0.02129	0.03678	0.11378	0.08314	0.07937	0.04785	0.07992	0.0088	0.0697	4.16858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02424	0.0	0.0	0.0	0.0	0.0	0.0	0.00606	0.0	0.0	0.0	0.0	0.0	0.01818	0.07879	0.87273	0.0	0.0	0.0	0.0	0.87273	0.74008	0.54545	20	0.21951	1352	0.44241	0.69157	9.35324	0.55759	0.01233	0.03837	0.06167	0.09617	0.03509	0.07016	0.05263
7	206	3341	14435	16.21845	9.28386	1.06236	0.58387	14.0	1	43	0.57243	0.22794	0.14992	0.17633	4.32056	1.65975	0.42301	-0.48618	0.0	0.15415	0.20443	0.20323	0.43819	0.00526	0.18365	0.03519	0.00727	0.03228	0.00423	0.01143	0.01136	0.00894	0.01704	0.01586	0.03685	0.00284	0.02071	0.00575	0.00672	0.0043	0.00388	0.00298	0.02771	0.00464	0.02473	0.02466	0.03228	0.10578	0.08043	0.09027	0.04351	0.0778	0.00741	0.06422	4.14476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00971	0.04854	0.93689	0.0	0.0	0.0	0.0	0.93689	0.40221	0.48058	42	0.12195	1547	0.46304	0.71752	9.58145	0.53696	0.00805	0.03383	0.06081	0.09209	0.03997	0.11562	0.0614
8	75	1242	5387	16.56	7.37788	1.31647	2.30241	16.0	6	45	0.44552	0.00382	-0.00742	-0.10847	4.33736	1.61206	0.43525	-0.32317	0.0	0.13849	0.19726	0.2351	0.42915	0.00408	0.16614	0.03211	0.00557	0.03007	0.00334	0.00705	0.00965	0.00631	0.01615	0.01764	0.03434	0.00427	0.01299	0.00501	0.00538	0.00501	0.00408	0.00149	0.03007	0.00464	0.0284	0.02023	0.03713	0.12122	0.08446	0.08112	0.04789	0.09059	0.00687	0.07667	4.09434	0.0	0.0	0.05333	0.0	0.0	0.0	0.0	0.0	0.0	0.01333	0.0	0.13333	0.0	0.0	0.0	0.0	0.0	0.01333	0.0	0.0	0.0	0.0	0.01333	0.0	0.0	0.25333	0.52	0.0	0.0	0.0	0.0	0.52	1.85468	0.32	7	0.44595	635	0.51127	0.73386	8.4851	0.48873	0.01373	0.05721	0.09497	0.08287	0.03451	0.08005	0.07018
9	129	2505	11115	19.4186	7.53462	1.38059	2.91035	18.0	8	52	0.38801	0.00978	0.14758	-0.00421	4.43713	1.71948	0.46213	-0.37928	0.0	0.14172	0.19042	0.21956	0.4483	0.00234	0.17094	0.03149	0.00783	0.02762	0.00279	0.00918	0.01242	0.00774	0.01862	0.01305	0.03707	0.00495	0.01745	0.00441	0.00567	0.00549	0.00306	0.00261	0.02816	0.00333	0.02771	0.01943	0.02708	0.12119	0.08673	0.07899	0.05866	0.09087	0.00612	0.06703	4.0925	0.0	0.0	0.00775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00775	0.28682	0.66667	0.0	0.0	0.0	0.0	0.66667	1.17085	0.4186	19	0.32031	1118	0.44631	0.7102	9.05023	0.55369	0.01072	0.0412	0.07111	0.10633	0.04	0.05778	0.07895
10	109	1839	7589	16.87156	8.06635	1.06088	1.16847	15.0	4	43	0.4781	0.04838	0.01002	0.06889	4.1267	1.60807	0.51937	-0.29909	0.0	0.1838	0.20935	0.21968	0.38717	0.00527	0.17868	0.03136	0.00567	0.03334	0.00395	0.01094	0.01291	0.00527	0.0166	0.01515	0.0336	0.00343	0.017	0.00553	0.00422	0.00567	0.00224	0.00422	0.0278	0.00264	0.02846	0.02385	0.03426	0.12017	0.08578	0.09079	0.04072	0.07142	0.00804	0.07102	4.10251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00917	0.09174	0.89908	0.0	0.0	0.0	0.0	0.89908	0.51625	0.54128	38	0.16667	881	0.47906	0.71283	8.83462	0.52094	0.01037	0.03907	0.06619	0.08354	0.02703	0.01182	0.08772
