key,sura,ayah,place,band,nwords,shinqiti_links,source_ref,notes
2:8,2,8,Medinan,short,7,,,
2:41,2,41,Medinan,long,11,,,
2:52,2,52,Medinan,short,3,,,
2:64,2,64,Medinan,short,7,,,
2:78,2,78,Medinan,short,5,,,
2:101,2,101,Medinan,long,14,,,
2:106,2,106,Medinan,long,11,,,
2:154,2,154,Medinan,short,7,,,
2:173,2,173,Medinan,long,16,,,
2:183,2,183,Medinan,short,6,,,
2:215,2,215,Medinan,long,16,,,
2:219,2,219,Medinan,long,20,,,
2:227,2,227,Medinan,short,5,,,
2:267,2,267,Medinan,long,16,,,
2:271,2,271,Medinan,long,12,,,
2:282,2,282,Medinan,long,84,,,
3:21,3,21,Medinan,long,14,,,
3:28,3,28,Medinan,long,17,,,
3:48,3,48,Medinan,short,5,,,
3:58,3,58,Medinan,short,4,,,
3:108,3,108,Medinan,long,8,,,
3:115,3,115,Medinan,short,6,,,
3:190,3,190,Medinan,long,9,,,
3:195,3,195,Medinan,long,30,,,
4:21,4,21,Medinan,short,7,,,
4:38,4,38,Medinan,long,13,,,
4:71,4,71,Medinan,short,7,,,
4:138,4,138,Medinan,short,4,,,
5:35,5,35,Medinan,long,8,,,
5:54,5,54,Medinan,long,25,,,
5:76,5,76,Medinan,long,10,,,
5:79,5,79,Medinan,short,7,,,
5:93,5,93,Medinan,long,17,,,
6:47,6,47,Meccan,long,10,,,
6:49,6,49,Meccan,short,6,,,
6:82,6,82,Meccan,short,6,,,
6:90,6,90,Meccan,long,9,,,
6:96,6,96,Meccan,long,11,,,
7:66,7,66,Meccan,long,8,,,
7:74,7,74,Meccan,long,19,,,
7:86,7,86,Meccan,long,18,,,
7:189,7,189,Meccan,long,19,,,
7:195,7,195,Meccan,long,13,,,
9:43,9,43,Medinan,short,7,,,
9:46,9,46,Medinan,long,11,,,
9:108,9,108,Medinan,long,15,,,
10:22,10,22,Meccan,long,25,,,
11:31,11,31,Meccan,long,18,,,
11:46,11,46,Meccan,long,13,,,
11:47,11,47,Meccan,long,10,,,
11:48,11,48,Meccan,long,11,,,
11:49,11,49,Meccan,long,10,,,
12:99,12,99,Meccan,long,10,,,
12:106,12,106,Meccan,short,4,,,
13:6,13,6,Medinan,long,15,,,
13:10,13,10,Medinan,long,8,,,
14:44,14,44,Meccan,long,19,,,
16:74,16,74,Meccan,short,6,,,
17:16,17,16,Meccan,long,10,,,
17:25,17,25,Meccan,long,8,,,
17:104,17,104,Meccan,long,10,,,
18:35,18,35,Meccan,long,8,,,
19:63,19,63,Meccan,short,5,,,
20:34,20,34,Meccan,short,2,,,
20:58,20,58,Meccan,long,10,,,
21:74,21,74,Meccan,long,13,,,
21:86,21,86,Meccan,short,3,,,
22:1,22,1,Medinan,short,7,,,
22:9,22,9,Medinan,long,12,,,
22:16,22,16,Medinan,short,6,,,
22:17,22,17,Medinan,long,15,,,
22:25,22,25,Medinan,long,17,,,
22:41,22,41,Medinan,long,13,,,
22:53,22,53,Medinan,long,11,,,
22:62,22,62,Medinan,long,8,,,
24:8,24,8,Medinan,short,7,,,
24:9,24,9,Medinan,short,5,,,
24:20,24,20,Medinan,short,6,,,
24:32,24,32,Medinan,long,13,,,
24:61,24,61,Medinan,long,47,,,
25:23,25,23,Meccan,short,6,,,
25:40,25,40,Meccan,long,10,,,
25:52,25,52,Meccan,short,5,,,
26:101,26,101,Meccan,short,2,,,
26:103,26,103,Meccan,short,4,,,
26:185,26,185,Meccan,short,2,,,
27:39,27,39,Meccan,long,9,,,
27:79,27,79,Meccan,short,4,,,
28:34,28,34,Meccan,long,9,,,
28:47,28,47,Meccan,long,12,,,
30:38,30,38,Meccan,long,12,,,
30:41,30,41,Meccan,long,11,,,
30:49,30,49,Meccan,short,5,,,
31:2,31,2,Meccan,short,3,,,
33:67,33,67,Medinan,short,7,,,
35:10,35,10,Meccan,long,18,,,
35:29,35,29,Meccan,long,12,,,
35:37,35,37,Meccan,long,16,,,
36:28,36,28,Meccan,short,7,,,
36:44,36,44,Meccan,short,3,,,
36:69,36,69,Meccan,short,6,,,
37:95,37,95,Meccan,short,3,,,
38:6,38,6,Meccan,short,7,,,
38:72,38,72,Meccan,short,5,,,
39:1,39,1,Meccan,short,5,,,
41:45,41,45,Meccan,long,11,,,
43:56,43,56,Meccan,short,4,,,
44:40,44,40,Meccan,short,4,,,
45:5,45,5,Meccan,long,16,,,
46:18,46,18,Meccan,long,9,,,
47:8,47,8,Medinan,short,4,,,
47:23,47,23,Medinan,short,5,,,
47:27,47,27,Medinan,short,5,,,
47:31,47,31,Medinan,short,6,,,
48:20,48,20,Medinan,long,15,,,
49:1,49,1,Medinan,long,11,,,
49:9,49,9,Medinan,long,21,,,
49:18,49,18,Medinan,long,8,,,
50:39,50,39,Meccan,long,10,,,
51:3,51,3,Meccan,short,2,,,
53:16,53,16,Meccan,short,3,,,
53:37,53,37,Meccan,short,2,,,
54:20,54,20,Meccan,short,5,,,
55:19,55,19,Medinan,short,3,,,
55:40,55,40,Medinan,short,3,,,
55:43,55,43,Medinan,short,3,,,
55:46,55,46,Medinan,short,4,,,
55:63,55,63,Medinan,short,3,,,
55:67,55,67,Medinan,short,3,,,
55:72,55,72,Medinan,short,3,,,
58:19,58,19,Medinan,long,10,,,
59:17,59,17,Medinan,short,6,,,
59:23,59,23,Medinan,long,13,,,
64:6,64,6,Medinan,long,14,,,
67:27,67,27,Meccan,long,8,,,
70:5,70,5,Meccan,short,3,,,
70:23,70,23,Meccan,short,2,,,
72:13,72,13,Meccan,long,8,,,
73:14,73,14,Meccan,long,8,,,
75:17,75,17,Meccan,short,2,,,
76:3,76,3,Medinan,short,4,,,
76:4,76,4,Medinan,short,5,,,
76:23,76,23,Medinan,short,3,,,
