salience_rank,root,freq,n_forms,n_suras,n_ayat,morphology_pctile,sura_concentration_q,signature,typology
1,ءله,2848,6,86,1877,78.5,0.027,1,CENTRAL
2,قول,1722,17,84,1383,97.5,0.027,1,CENTRAL+productive
3,کون,1390,18,86,1176,98.1,0.027,1,CENTRAL+productive
4,ربب,980,8,94,871,84.2,0.027,1,CENTRAL
5,ءمن,879,28,77,723,99.7,0.027,1,CENTRAL+productive
6,علم,854,20,85,728,98.4,0.027,1,CENTRAL+productive
7,قوم,660,45,79,597,100.0,0.027,1,CENTRAL+productive
8,ءتی,549,31,72,486,99.8,0.312,0,CENTRAL+productive
9,کفر,525,20,77,465,98.4,0.042,1,CENTRAL+productive
10,بین,523,16,71,454,96.6,0.184,0,CENTRAL+productive
11,شیء,519,12,73,449,92.8,0.042,1,CENTRAL+productive
12,رسل,513,16,69,429,96.2,0.027,1,CENTRAL+productive
13,یوم,475,6,80,437,79.7,0.027,1,CENTRAL
14,ءرض,461,2,80,440,42.8,0.158,0,CENTRAL
15,ءیی,382,3,59,353,53.0,0.027,1,CENTRAL
16,سمو,381,12,81,352,93.1,0.0648,0,CENTRAL+productive
17,کلل,377,4,74,355,62.9,0.715,0,CENTRAL
18,عذب,373,11,68,336,90.6,0.132,0,CENTRAL+productive
19,عمل,360,13,68,313,94.0,0.027,1,CENTRAL+productive
20,جعل,346,9,66,311,86.4,0.027,1,CENTRAL
21,ءنس,342,10,77,321,89.0,0.027,1,CENTRAL
22,رحم,339,14,62,313,94.7,0.027,1,CENTRAL+productive
23,رءی,328,25,72,297,99.5,0.027,1,CENTRAL+productive
24,کتب,319,14,61,279,94.5,0.027,1,CENTRAL+productive
25,هدی,316,30,62,268,99.8,0.138,0,CENTRAL+productive
26,ظلم,315,17,59,290,97.5,0.661,0,CENTRAL+productive
27,نفس,298,7,63,270,83.0,0.243,0,CENTRAL
28,قبل,294,15,64,282,95.7,0.912,0,CENTRAL+productive
29,نزل,293,18,60,257,97.9,0.27,0,CENTRAL+productive
30,ذکر,292,23,71,264,98.9,0.027,1,CENTRAL+productive
31,حقق,287,7,59,263,82.0,0.119,0,CENTRAL
32,کذب,282,16,68,257,97.1,0.027,1,CENTRAL+productive
33,جیء,278,4,62,262,68.3,0.143,0,CENTRAL
34,عبد,275,16,57,251,97.1,0.027,1,CENTRAL+productive
35,ءخذ,273,23,55,244,98.9,0.198,0,CENTRAL+productive
36,خلق,261,12,75,218,92.5,0.042,1,CENTRAL+productive
37,وقی,258,21,63,237,98.5,0.042,1,CENTRAL+productive
38,ءخر,250,16,64,242,97.0,0.526,0,CENTRAL+productive
39,ءمر,248,13,61,226,93.8,0.1,0,CENTRAL+productive
40,بعد,235,6,57,223,76.5,0.597,0,CENTRAL
41,غفر,234,19,56,202,98.2,0.123,0,CENTRAL+productive
42,ولی,232,26,55,202,99.6,0.0882,0,CENTRAL+productive
43,دعو,212,22,55,182,98.7,0.042,1,CENTRAL+productive
44,حکم,210,14,57,189,94.3,0.173,0,CENTRAL+productive
45,ملک,206,14,63,191,94.8,0.295,0,CENTRAL+productive
46,جنن,201,9,70,196,85.7,0.0526,0,CENTRAL
47,عند,201,3,62,189,57.1,0.923,0,CENTRAL
48,خیر,196,11,55,178,91.2,0.219,0,CENTRAL+productive
49,نور,194,6,62,174,77.4,0.143,0,CENTRAL
50,حسن,194,17,50,177,97.3,0.312,0,CENTRAL+productive
51,ضلل,191,18,56,170,98.1,0.258,0,CENTRAL+productive
52,حیی,189,25,50,166,99.5,0.252,0,CENTRAL+productive
53,سمع,185,16,57,163,96.9,0.424,0,CENTRAL+productive
54,خرج,182,21,56,157,98.6,0.127,0,CENTRAL+productive
55,صلح,180,15,54,170,95.4,0.413,0,CENTRAL+productive
56,سبل,176,5,47,164,75.1,0.174,0,CENTRAL
57,تبع,174,13,52,158,93.7,0.787,0,CENTRAL+productive
58,ءول,172,13,54,160,94.1,0.245,0,CENTRAL+productive
59,قتل,170,18,33,122,97.8,0.0733,0,CENTRAL+productive
60,مثل,169,9,50,148,87.9,0.407,0,CENTRAL
61,شرک,168,15,44,143,96.1,0.0733,0,CENTRAL+productive
62,قلب,168,15,48,155,96.0,0.0882,0,CENTRAL+productive
63,کثر,167,10,51,162,90.1,0.232,0,CENTRAL+productive
64,سوء,166,17,45,150,97.6,0.36,0,CENTRAL+productive
65,موت,165,25,53,143,99.3,0.258,0,CENTRAL+productive
66,بنو,162,10,46,132,88.2,0.249,0,CENTRAL
67,کبر,161,25,57,153,99.4,0.232,0,CENTRAL+productive
68,شهد,160,23,48,123,99.0,0.119,0,CENTRAL+productive
69,بعض,158,3,38,87,60.8,0.18,0,CENTRAL
