rank,root,freq,n_suras,salience_pctile,concentration_pctile,macro_q,micro_q,validated_sig,tier,importance_score
1,بتر,1,1,2.0,100.0,0.0152,0.0646,1,signature,100.0
2,ءله,2848,86,100.0,96.6,0.0152,0.0043,1,both,100.0
3,نحر,1,1,9.1,99.9,0.0152,0.0624,1,signature,99.9
4,قول,1722,84,99.9,91.3,0.0152,0.0043,1,both,99.9
5,ءلی,34,3,83.8,99.9,0.0152,0.0043,1,signature,99.9
6,کون,1390,86,99.9,82.5,0.0152,0.0043,1,pervasive,99.9
7,کفء,1,1,0.4,99.8,0.0152,0.0611,1,signature,99.8
8,ربب,980,94,99.8,93.1,0.0152,0.0043,1,both,99.8
9,ءمن,879,77,99.8,85.0,0.0152,0.0043,1,pervasive,99.8
10,صمد,1,1,13.4,99.8,0.0152,0.0601,1,signature,99.8
11,قرش,1,1,17.6,99.7,0.0415,0.0646,1,signature,99.7
12,علم,854,85,99.7,73.1,0.0152,0.0043,1,pervasive,99.7
13,قوم,660,79,99.6,78.7,0.0152,0.0043,1,pervasive,99.6
14,صیف,1,1,16.9,99.6,0.0354,0.072,1,signature,99.6
15,ءتی,549,72,99.6,49.9,0.341,0.0043,1,pervasive,99.6
16,لهب,3,2,42.9,99.5,0.0254,0.0043,1,signature,99.5
17,کفر,525,77,99.5,76.2,0.0152,0.0043,1,pervasive,99.5
18,بین,523,71,99.5,59.7,0.173,0.0043,1,pervasive,99.5
19,قرع,5,3,49.7,99.5,0.0152,0.0043,1,signature,99.5
20,شیء,519,73,99.4,65.7,0.0415,0.0043,1,pervasive,99.4
21,معن,1,1,10.8,99.4,0.0254,0.0494,1,signature,99.4
22,رسل,513,69,99.4,74.5,0.0152,0.0043,1,pervasive,99.4
23,نفث,1,1,6.6,99.4,0.0489,0.0554,1,signature,99.4
24,یوم,475,80,99.3,92.1,0.0152,0.0043,1,both,99.3
25,ءرض,461,80,99.2,53.3,0.154,0.00709,1,pervasive,99.2
26,تبب,4,3,48.3,99.2,0.0152,0.0135,1,signature,99.2
27,ءیی,382,59,99.2,77.2,0.0152,0.0043,1,pervasive,99.2
28,سمو,381,81,99.1,66.3,0.059,0.0043,1,pervasive,99.1
29,حسد,5,4,52.6,99.1,0.0152,0.00709,1,signature,99.1
30,کلل,377,74,99.1,33.5,0.695,0.193,0,pervasive,99.1
31,عذب,373,68,99.0,62.3,0.115,0.0043,1,pervasive,99.0
32,وسوس,5,4,52.0,99.0,0.0152,0.0135,1,signature,99.0
33,شنء,3,2,43.1,98.9,0.0152,0.115,1,signature,98.9
34,عمل,360,68,98.9,73.8,0.0152,0.00709,1,pervasive,98.9
